rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation,source_url,data_note
2025-11-19,FRS_Male_Football_20251119,United Arab Emirates,UAE,67,65,-2,1368.58,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Cape Verde,CPV,68,70,2,1365.14,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Ghana,GHA,69,73,4,1364.2,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Bosnia and Herzegovina,BIH,70,75,5,1362.17,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Northern Ireland,NIR,71,69,-2,1359.94,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Finland,FIN,72,71,-1,1355.26,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Georgia,GEO,73,70,-3,1352.52,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Iceland,ISL,74,74,0,1350.94,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Honduras,HON,75,76,1,1348.54,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Guinea,GUI,76,77,1,1345.3,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Oman,OMA,77,79,2,1333.1,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Israel,ISR,78,80,2,1326.13,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Bahrain,BHR,79,81,2,1316.16,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Kosovo,KVX,80,84,4,1310.48,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Haiti,HAI,81,82,1,1307.05,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Gabon,GAB,82,78,-4,1307.04,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Bulgaria,BUL,83,86,3,1300.01,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Curaçao,CUW,84,82,-2,1296.79,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Uganda,UGA,85,83,-2,1296.45,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,New Zealand,NZL,86,85,-1,1287.89,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Montenegro,MNE,87,89,2,1272.1,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Luxembourg,LUX,88,91,3,1269.43,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Syria,SYR,89,90,1,1265.2,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Benin,BEN,90,88,-2,1264.29,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Angola,ANG,91,87,-4,1262.41,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Zambia,ZAM,92,91,-1,1259.45,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Bolivia,BOL,93,80,-13,1258.4,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Palestine,PLE,94,94,0,1248.98,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Equatorial Guinea,EQG,95,93,-2,1235.24,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Mozambique,MOZ,96,98,2,1232.58,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Belarus,BLR,97,100,3,1230.84,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Armenia,ARM,98,105,7,1229.59,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Thailand,THA,99,96,-3,1226.73,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,El Salvador,SLV,100,94,-6,1226.65,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-12-22,football_ranking_2025-12-22,Spain,ESP,1,1,0,1877.18,1877,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Argentina,ARG,2,2,0,1873.33,1873,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,France,FRA,3,3,0,1870.0,1870,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,England,ENG,4,4,0,1834.12,1834,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Brazil,BRA,5,5,0,1760.46,1760,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Portugal,POR,6,6,0,1760.38,1760,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Netherlands,NED,7,7,0,1756.27,1756,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Belgium,BEL,8,8,0,1736.38,1736,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Germany,GER,9,9,0,1713.3,1713,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Croatia,CRO,10,10,0,1710.15,1710,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Morocco,MAR,11,11,0,1716.35,1713,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Italy,ITA,12,12,0,1702.89,1703,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Colombia,COL,13,13,0,1696.53,1697,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Senegal,SEN,14,14,0,1683.03,1683,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Mexico,MEX,15,15,0,1682.05,1682,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Uruguay,URU,16,16,0,1677.6,1678,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,United States,USA,17,17,0,1671.26,1671,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Switzerland,SUI,18,18,0,1654.64,1655,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Japan,JPN,19,19,0,1645.66,1646,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Denmark,DEN,20,20,0,1625.96,1626,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Iran,IRN,21,21,0,1618.71,1619,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,Austria,AUT,22,22,0,1598.57,1599,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
2025-12-22,football_ranking_2025-12-22,South Korea,KOR,23,23,0,1593.33,1593,,https://football-ranking.com/fifa-world-rankings?period=22+December+2025,Manual extraction from football-ranking.com page 1; top 50 only.
