rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation
2024-12-19,id14597,Hungary,HUN,30.0,30.0,0.0,1517.57,1517.57,UEFA
2024-12-19,id14597,Canada,CAN,31.0,31.0,0.0,1515.96,1515.96,CONCACAF
2024-12-19,id14597,Serbia,SRB,32.0,32.0,0.0,1514.28,1514.28,UEFA
2024-12-19,id14597,Egypt,EGY,33.0,33.0,0.0,1513.48,1513.48,CAF
2024-12-19,id14597,Russia,RUS,34.0,34.0,0.0,1512.32,1512.32,UEFA
2024-12-19,id14597,Poland,POL,35.0,35.0,0.0,1510.62,1510.62,UEFA
2024-12-19,id14597,Panama,PAN,36.0,36.0,0.0,1504.39,1504.39,CONCACAF
2024-12-19,id14597,Algeria,ALG,37.0,37.0,0.0,1495.85,1495.85,CAF
2024-12-19,id14597,Romania,ROU,38.0,38.0,0.0,1494.2,1494.2,UEFA
2024-12-19,id14597,Greece,GRE,39.0,39.0,0.0,1489.88,1489.88,UEFA
2024-12-19,id14597,Peru,PER,40.0,40.0,0.0,1488.42,1488.42,CONMEBOL
2024-12-19,id14597,Slovakia,SVK,41.0,41.0,0.0,1486.19,1486.19,UEFA
2024-12-19,id14597,Czechia,CZE,42.0,42.0,0.0,1484.88,1484.88,UEFA
2024-12-19,id14597,Norway,NOR,43.0,43.0,0.0,1484.44,1484.44,UEFA
2024-12-19,id14597,Nigeria,NGA,44.0,44.0,0.0,1482.23,1482.23,CAF
2024-12-19,id14597,Scotland,SCO,45.0,45.0,0.0,1480.24,1480.24,UEFA
2024-12-19,id14597,Côte d'Ivoire,CIV,46.0,46.0,0.0,1478.47,1478.47,CAF
2024-12-19,id14597,Venezuela,VEN,47.0,47.0,0.0,1475.71,1475.71,CONMEBOL
2024-12-19,id14597,Qatar,QAT,48.0,48.0,0.0,1474.6,1474.6,AFC
2024-12-19,id14597,Cameroon,CMR,49.0,49.0,0.0,1471.49,1471.49,CAF
2024-12-19,id14597,Chile,CHI,50.0,50.0,0.0,1469.44,1469.44,CONMEBOL
2024-12-19,id14597,Mali,MLI,51.0,51.0,0.0,1466.1,1466.1,CAF
2024-12-19,id14597,Tunisia,TUN,52.0,52.0,0.0,1464.42,1464.42,CAF
2024-12-19,id14597,Paraguay,PAR,53.0,53.0,0.0,1458.26,1458.26,CONMEBOL
2024-12-19,id14597,Costa Rica,CRC,54.0,54.0,0.0,1454.99,1454.99,CONCACAF
2024-12-19,id14597,Slovenia,SVN,55.0,55.0,0.0,1454.25,1454.25,UEFA
2024-12-19,id14597,Iraq,IRQ,56.0,56.0,0.0,1442.86,1442.86,AFC
2024-12-19,id14597,South Africa,RSA,57.0,57.0,0.0,1428.87,1428.87,CAF
2024-12-19,id14597,Uzbekistan,UZB,58.0,58.0,0.0,1424.93,1424.93,AFC
2024-12-19,id14597,Saudi Arabia,KSA,59.0,59.0,0.0,1406.56,1406.56,AFC
2024-12-19,id14597,Republic of Ireland,IRL,60.0,60.0,0.0,1400.22,1400.22,UEFA
2024-12-19,id14597,Congo DR,COD,61.0,61.0,0.0,1395.77,1395.77,CAF
2024-12-19,id14597,Jamaica,JAM,62.0,62.0,0.0,1390.85,1390.85,CONCACAF
2024-12-19,id14597,United Arab Emirates,UAE,63.0,63.0,0.0,1385.57,1385.57,AFC
2024-12-19,id14597,Jordan,JOR,64.0,64.0,0.0,1375.91,1375.91,AFC
2024-12-19,id14597,Albania,ALB,65.0,65.0,0.0,1375.57,1375.57,UEFA
2024-12-19,id14597,Burkina Faso,BFA,66.0,66.0,0.0,1373.76,1373.76,CAF
2024-12-19,id14597,North Macedonia,MKD,67.0,67.0,0.0,1368.96,1368.96,UEFA
2024-12-19,id14597,Georgia,GEO,68.0,68.0,0.0,1362.21,1362.21,UEFA
2024-12-19,id14597,Finland,FIN,69.0,69.0,0.0,1361.53,1361.53,UEFA
2024-12-19,id14597,Iceland,ISL,70.0,70.0,0.0,1355.1,1355.1,UEFA
2024-12-19,id14597,Northern Ireland,NIR,71.0,71.0,0.0,1349.58,1349.58,UEFA
2024-12-19,id14597,Cabo Verde,CPV,72.0,72.0,0.0,1328.51,1328.51,CAF
2024-12-19,id14597,Montenegro,MNE,73.0,73.0,0.0,1326.76,1326.76,UEFA
2024-12-19,id14597,Bosnia and Herzegovina,BIH,74.0,74.0,0.0,1326.69,1326.69,UEFA
2024-12-19,id14597,Honduras,HON,75.0,75.0,0.0,1325.93,1325.93,CONCACAF
2024-12-19,id14597,Israel,ISR,76.0,76.0,0.0,1322.25,1322.25,UEFA
2024-12-19,id14597,Ghana,GHA,77.0,77.0,0.0,1320.52,1320.52,CAF
2024-12-19,id14597,Guinea,GUI,78.0,78.0,0.0,1311.88,1311.88,CAF
2024-12-19,id14597,Bolivia,BOL,79.0,79.0,0.0,1308.58,1308.58,CONMEBOL
2024-12-19,id14597,Oman,OMA,80.0,80.0,0.0,1306.67,1306.67,AFC
2024-12-19,id14597,Bahrain,BHR,81.0,81.0,0.0,1305.52,1305.52,AFC
2024-12-19,id14597,Bulgaria,BUL,82.0,82.0,0.0,1301.04,1301.04,UEFA
2024-12-19,id14597,El Salvador,SLV,83.0,83.0,0.0,1300.81,1300.81,CONCACAF
2024-12-19,id14597,Gabon,GAB,84.0,84.0,0.0,1297.87,1297.87,CAF
2024-12-19,id14597,Angola,ANG,85.0,85.0,0.0,1296.48,1296.48,CAF
2024-12-19,id14597,Haiti,HAI,86.0,86.0,0.0,1287.75,1287.75,CONCACAF
2024-12-19,id14597,Zambia,ZAM,87.0,87.0,0.0,1279.24,1279.24,CAF
2024-12-19,id14597,Uganda,UGA,88.0,88.0,0.0,1270.42,1270.42,CAF
2024-12-19,id14597,New Zealand,NZL,89.0,89.0,0.0,1269.83,1269.83,OFC
2024-12-19,id14597,China PR,CHN,90.0,90.0,0.0,1266.38,1266.38,AFC
2024-12-19,id14597,Curaçao,CUW,91.0,91.0,0.0,1264.78,1264.78,CONCACAF
2024-12-19,id14597,Luxembourg,LUX,92.0,92.0,0.0,1256.42,1256.42,UEFA
2024-12-19,id14597,Equatorial Guinea,EQG,93.0,93.0,0.0,1256.2,1256.2,CAF
2024-12-19,id14597,Benin,BEN,94.0,94.0,0.0,1250.99,1250.99,CAF
2024-12-19,id14597,Syria,SYR,95.0,95.0,0.0,1249.47,1249.47,AFC
2024-12-19,id14597,Mozambique,MOZ,96.0,96.0,0.0,1232.7,1232.7,CAF
2024-12-19,id14597,Thailand,THA,97.0,97.0,0.0,1231.17,1228.24,AFC
2024-12-19,id14597,Belarus,BLR,98.0,98.0,0.0,1226.31,1226.31,UEFA
2024-12-19,id14597,Kosovo,KOS,99.0,99.0,0.0,1219.82,1219.82,UEFA
2024-12-19,id14597,Armenia,ARM,100.0,100.0,0.0,1219.15,1219.15,UEFA
2024-12-19,id14597,Palestine,PLE,101.0,101.0,0.0,1215.87,1215.87,AFC
2024-12-19,id14597,Trinidad and Tobago,TRI,102.0,102.0,0.0,1214.81,1214.81,CONCACAF
2024-12-19,id14597,Comoros,COM,103.0,103.0,0.0,1208.99,1208.99,CAF
2024-12-19,id14597,Tajikistan,TJK,104.0,104.0,0.0,1203.08,1203.08,AFC
2024-12-19,id14597,Guatemala,GUA,105.0,105.0,0.0,1201.35,1201.35,CONCACAF
2024-12-19,id14597,Tanzania,TAN,106.0,106.0,0.0,1199.33,1199.33,CAF
2024-12-19,id14597,Kyrgyz Republic,KGZ,107.0,107.0,0.0,1194.19,1194.19,AFC
2024-12-19,id14597,Kenya,KEN,108.0,108.0,0.0,1189.65,1189.65,CAF
2024-12-19,id14597,Mauritania,MTN,109.0,109.0,0.0,1183.16,1183.16,CAF
2024-12-19,id14597,Kazakhstan,KAZ,110.0,110.0,0.0,1180.18,1180.18,UEFA
2024-12-19,id14597,Namibia,NAM,111.0,111.0,0.0,1179.26,1179.26,CAF
2024-12-19,id14597,Lebanon,LBN,112.0,112.0,0.0,1171.43,1168.1,AFC
2024-12-19,id14597,Sudan,SDN,113.0,113.0,0.0,1165.41,1165.41,CAF
2024-12-19,id14597,Vietnam,VIE,114.0,116.0,2.0,1164.79,1161.11,AFC
2024-12-19,id14597,Korea DPR,PRK,115.0,114.0,-1.0,1164.41,1164.41,AFC
2024-12-19,id14597,Madagascar,MAD,116.0,115.0,-1.0,1162.02,1162.02,CAF
2024-12-19,id14597,Azerbaijan,AZE,117.0,117.0,0.0,1158.7,1158.7,UEFA
2024-12-19,id14597,Libya,LBY,118.0,118.0,0.0,1158.03,1158.03,CAF
2024-12-19,id14597,Togo,TOG,119.0,119.0,0.0,1152.18,1152.18,CAF
2024-12-19,id14597,Guinea-Bissau,GNB,120.0,120.0,0.0,1151.72,1151.72,CAF
2024-12-19,id14597,Zimbabwe,ZIM,121.0,121.0,0.0,1151.06,1151.06,CAF
2024-12-19,id14597,Niger,NIG,122.0,122.0,0.0,1145.96,1145.96,CAF
2024-12-19,id14597,Estonia,EST,123.0,123.0,0.0,1142.53,1142.53,UEFA
2024-12-19,id14597,Rwanda,RWA,124.0,124.0,0.0,1136.06,1136.06,CAF
2024-12-19,id14597,The Gambia,GAM,125.0,126.0,1.0,1134.69,1134.69,CAF
2024-12-19,id14597,India,IND,126.0,127.0,1.0,1133.62,1133.62,AFC
2024-12-19,id14597,Indonesia,IDN,127.0,125.0,-2.0,1133.41,1135.11,AFC
2024-12-19,id14597,Congo,CGO,128.0,128.0,0.0,1132.65,1132.65,CAF
2024-12-19,id14597,Sierra Leone,SLE,129.0,129.0,0.0,1132.06,1132.06,CAF
2024-12-19,id14597,Cyprus,CYP,130.0,130.0,0.0,1131.32,1131.32,UEFA
2024-12-19,id14597,Malawi,MWI,131.0,131.0,0.0,1129.31,1129.31,CAF
2024-12-19,id14597,Malaysia,MAS,132.0,132.0,0.0,1115.51,1117.05,AFC
2024-12-19,id14597,Nicaragua,NCA,133.0,133.0,0.0,1114.28,1114.28,CONCACAF
2024-12-19,id14597,Kuwait,KUW,134.0,134.0,0.0,1108.72,1109.16,AFC
2024-12-19,id14597,Central African Republic,CTA,135.0,135.0,0.0,1102.23,1102.23,CAF
2024-12-19,id14597,Botswana,BOT,136.0,136.0,0.0,1098.85,1098.85,CAF
2024-12-19,id14597,Faroe Islands,FRO,137.0,137.0,0.0,1096.88,1096.88,UEFA
2024-12-19,id14597,Suriname,SUR,138.0,138.0,0.0,1096.6,1096.6,CONCACAF
2024-12-19,id14597,Burundi,BDI,139.0,139.0,0.0,1087.26,1087.26,CAF
2024-12-19,id14597,Latvia,LVA,140.0,140.0,0.0,1084.11,1084.11,UEFA
2024-12-19,id14597,Dominican Republic,DOM,141.0,141.0,0.0,1083.36,1083.36,CONCACAF
2024-12-19,id14597,Lithuania,LTU,142.0,142.0,0.0,1069.96,1069.96,UEFA
2024-12-19,id14597,Turkmenistan,TKM,143.0,143.0,0.0,1065.42,1065.42,AFC
2024-12-19,id14597,St Kitts and Nevis,SKN,144.0,144.0,0.0,1064.99,1064.99,CONCACAF
2024-12-19,id14597,Liberia,LBR,145.0,145.0,0.0,1063.04,1063.04,CAF
2024-12-19,id14597,Ethiopia,ETH,146.0,146.0,0.0,1059.94,1059.94,CAF
2024-12-19,id14597,Solomon Islands,SOL,147.0,148.0,1.0,1051.0,1048.75,OFC
2024-12-19,id14597,Fiji,FIJ,148.0,147.0,-1.0,1048.48,1049.15,OFC
2024-12-19,id14597,Lesotho,LES,149.0,150.0,1.0,1046.76,1046.76,CAF
2024-12-19,id14597,Philippines,PHI,150.0,149.0,-1.0,1046.67,1047.73,AFC
2024-12-19,id14597,Moldova,MDA,151.0,151.0,0.0,1045.59,1045.59,UEFA
2024-12-19,id14597,New Caledonia,NCL,152.0,152.0,0.0,1034.43,1034.43,OFC
2024-12-19,id14597,Tahiti,TAH,153.0,153.0,0.0,1031.47,1031.47,OFC
2024-12-19,id14597,Guyana,GUY,154.0,154.0,0.0,1030.6,1030.6,CONCACAF
2024-12-19,id14597,"Hong Kong, China",HKG,155.0,156.0,1.0,1028.76,1024.58,AFC
2024-12-19,id14597,Afghanistan,AFG,156.0,155.0,-1.0,1025.0,1025.0,AFC
2024-12-19,id14597,Puerto Rico,PUR,157.0,157.0,0.0,1022.83,1022.83,CONCACAF
2024-12-19,id14597,Yemen,YEM,158.0,158.0,0.0,1018.27,1017.84,AFC
2024-12-19,id14597,Eswatini,SWZ,159.0,159.0,0.0,1015.25,1015.25,CAF
2024-12-19,id14597,Singapore,SGP,160.0,161.0,1.0,1011.68,1007.83,AFC
2024-12-19,id14597,Antigua and Barbuda,ATG,161.0,160.0,-1.0,1010.97,1010.97,CONCACAF
2024-12-19,id14597,Maldives,MDV,162.0,162.0,0.0,1001.39,1001.39,AFC
2024-12-19,id14597,Cuba,CUB,163.0,164.0,1.0,994.43,994.43,CONCACAF
2024-12-19,id14597,Vanuatu,VAN,164.0,163.0,-1.0,994.22,996.21,OFC
2024-12-19,id14597,Chinese Taipei,TPE,165.0,165.0,0.0,990.56,990.92,AFC
2024-12-19,id14597,Bermuda,BER,166.0,166.0,0.0,988.19,988.19,CONCACAF
2024-12-19,id14597,St Lucia,LCA,167.0,168.0,1.0,985.72,985.72,CONCACAF
2024-12-19,id14597,Malta,MLT,168.0,169.0,1.0,983.95,983.95,UEFA
2024-12-19,id14597,Myanmar,MYA,169.0,167.0,-2.0,981.35,986.15,AFC
2024-12-19,id14597,South Sudan,SSD,170.0,170.0,0.0,973.55,973.55,CAF
2024-12-19,id14597,Andorra,AND,171.0,171.0,0.0,971.54,971.54,UEFA
2024-12-19,id14597,Papua New Guinea,PNG,172.0,172.0,0.0,963.63,963.22,OFC
2024-12-19,id14597,St Vincent and the Grenadines,VIN,173.0,173.0,0.0,961.92,961.92,CONCACAF
2024-12-19,id14597,Grenada,GRN,174.0,174.0,0.0,955.44,955.44,CONCACAF
2024-12-19,id14597,Nepal,NEP,175.0,175.0,0.0,939.2,939.2,AFC
2024-12-19,id14597,Chad,CHA,176.0,176.0,0.0,935.41,935.41,CAF
2024-12-19,id14597,Barbados,BRB,177.0,177.0,0.0,933.3,933.3,CONCACAF
2024-12-19,id14597,Belize,BLZ,178.0,178.0,0.0,925.02,925.02,CONCACAF
2024-12-19,id14597,Mauritius,MRI,179.0,179.0,0.0,923.46,923.46,CAF
2024-12-19,id14597,Cambodia,CAM,180.0,180.0,0.0,920.0,921.2,AFC
2024-12-19,id14597,Montserrat,MSR,181.0,181.0,0.0,914.26,914.26,CONCACAF
2024-12-19,id14597,Bhutan,BHU,182.0,182.0,0.0,904.06,904.06,AFC
2024-12-19,id14597,Dominica,DMA,183.0,183.0,0.0,900.0,900.0,CONCACAF
2024-12-19,id14597,Brunei Darussalam,BRU,184.0,184.0,0.0,899.87,899.87,AFC
2024-12-19,id14597,Bangladesh,BAN,185.0,185.0,0.0,898.81,898.81,AFC
2024-12-19,id14597,Laos,LAO,186.0,186.0,0.0,890.08,889.54,AFC
2024-12-19,id14597,American Samoa,ASA,187.0,188.0,1.0,883.17,883.17,OFC
2024-12-19,id14597,Mongolia,MNG,188.0,187.0,-1.0,879.75,883.57,AFC
2024-12-19,id14597,São Tomé and Príncipe,STP,189.0,189.0,0.0,878.09,878.09,CAF
2024-12-19,id14597,Cook Islands,COK,190.0,190.0,0.0,877.53,877.53,OFC
2024-12-19,id14597,Djibouti,DJI,191.0,191.0,0.0,877.37,877.37,CAF
2024-12-19,id14597,Samoa,SAM,192.0,192.0,0.0,876.41,876.41,OFC
2024-12-19,id14597,Macau,MAC,193.0,193.0,0.0,868.79,871.52,AFC
2024-12-19,id14597,Cayman Islands,CAY,194.0,194.0,0.0,866.71,866.71,CONCACAF
2024-12-19,id14597,Aruba,ARU,195.0,195.0,0.0,858.0,858.0,CONCACAF
2024-12-19,id14597,Gibraltar,GIB,196.0,197.0,1.0,848.58,848.58,UEFA
2024-12-19,id14597,Timor-Leste,TLS,197.0,196.0,-1.0,846.8,850.83,AFC
2024-12-19,id14597,Pakistan,PAK,198.0,198.0,0.0,842.59,842.59,AFC
2024-12-19,id14597,Tonga,TGA,199.0,199.0,0.0,835.64,835.64,OFC
2024-12-19,id14597,Sri Lanka,SRI,200.0,200.0,0.0,832.8,832.8,AFC
2024-12-19,id14597,Seychelles,SEY,201.0,201.0,0.0,831.19,831.19,CAF
2024-12-19,id14597,Somalia,SOM,202.0,202.0,0.0,829.81,829.81,CAF
2024-12-19,id14597,Guam,GUM,203.0,203.0,0.0,824.65,821.91,AFC
2024-12-19,id14597,Liechtenstein,LIE,204.0,204.0,0.0,821.71,821.71,UEFA
2024-12-19,id14597,Bahamas,BAH,205.0,205.0,0.0,818.58,818.58,CONCACAF
2024-12-19,id14597,Turks and Caicos Islands,TCA,206.0,206.0,0.0,803.98,803.98,CONCACAF
2024-12-19,id14597,British Virgin Islands,VGB,207.0,207.0,0.0,780.3,780.3,CONCACAF
2024-12-19,id14597,US Virgin Islands,VIR,208.0,208.0,0.0,779.71,779.71,CONCACAF
2024-12-19,id14597,Anguilla,AIA,209.0,209.0,0.0,769.31,769.31,CONCACAF
2024-12-19,id14597,San Marino,SMR,210.0,210.0,0.0,747.42,747.42,UEFA
2024-12-19,id14597,Eritrea,ERI,,,,855.56,0.0,CAF
